Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,BedroomAbvGr,LotArea,SalePrice
1,7,1560,0,1658,1969,2,1,8059,177106
2,4,2827,2,1319,2012,3,4,13530,301044
3,8,3920,0,841,2010,1,4,9010,360609
4,5,3044,0,1058,1998,0,4,13207,240556
5,7,801,1,2428,2020,0,1,9117,193656
6,10,680,1,2480,1950,2,1,13081,213952
7,3,1106,2,1096,1962,1,4,11153,145539
8,7,3670,1,437,2000,2,5,4989,350830
9,8,1199,2,1653,2005,1,5,14040,275955
10,5,1492,1,2175,2011,1,2,11218,211664
11,4,1639,0,368,1981,1,3,8228,131861
12,8,690,2,2400,1979,0,5,14057,209288
13,8,2800,2,1773,1978,3,1,8471,343023
14,3,1480,0,504,1998,2,5,4863,156829
15,6,3475,2,2473,1994,3,2,12693,361922
16,5,2506,2,342,1979,2,2,12139,251312
17,2,1684,1,2206,1965,1,3,3177,186675
18,8,3827,2,2458,1989,0,5,6760,397482
19,6,3894,3,1060,1968,3,1,2011,352990
20,2,627,0,2442,1967,0,1,7252,89957
21,5,2565,1,2294,1950,2,4,6399,259988
22,1,2316,1,2235,1996,0,1,13556,183022
23,10,2258,3,1199,2015,0,3,13214,327036
24,6,3113,0,659,1987,3,3,13563,283053
25,9,1069,0,2019,2000,1,1,13022,204186
26,1,1846,1,580,2012,0,1,10234,129364
27,10,2395,2,2187,1953,1,4,11135,328413
28,3,3233,1,966,1950,2,1,12582,229144
29,7,1125,0,392,1957,0,4,7445,136537
30,4,3859,3,971,1978,3,4,12737,343597
31,9,3401,1,2269,2004,2,1,12603,376248
32,3,2186,0,360,1952,2,2,8570,129160
33,5,3509,1,1328,1981,3,2,11196,309728
34,3,654,2,1789,1959,0,4,10212,137842
35,7,3037,1,903,2023,0,1,2406,302296
36,5,1909,1,981,1983,2,2,11206,190530
37,9,1284,0,1728,2004,0,1,6431,196450
38,7,3675,0,823,1981,1,1,12030,306422
39,2,3964,0,2268,1999,3,1,13380,306748
40,4,745,1,1401,1956,1,5,7243,133297
41,9,3747,2,2053,1957,0,1,8542,371266
42,2,3610,3,2136,2014,2,5,8936,382768
43,10,2000,3,2394,2006,3,4,10906,385176
44,9,2205,0,1444,2016,0,2,6146,278333
45,10,3306,0,1379,2008,0,2,14046,337737
46,5,1037,1,406,2021,2,2,14611,189831
47,2,2390,3,347,2003,2,2,2140,240319
48,4,2341,0,636,2016,1,2,14757,190903
49,7,1420,2,1349,2000,3,2,6882,260686
50,8,2955,2,1580,1957,3,2,8012,327766
51,3,1024,0,2355,1983,2,4,2963,146669
52,1,3375,0,924,1984,1,1,9151,189331
53,4,2029,3,2190,1981,3,3,10564,289968
54,2,3450,3,1576,1995,2,5,13827,331441
55,8,535,1,2015,1965,0,3,12733,172803
56,4,1184,3,602,2017,3,3,5610,235176
57,2,519,2,938,1986,1,1,11884,99107
58,6,2868,2,355,2003,1,1,8894,253397
59,6,3059,0,1025,1963,1,1,9311,245441
60,10,899,3,825,2004,0,2,2105,220562
61,4,3201,1,773,1997,3,4,7539,302167
62,6,1471,2,327,1956,3,2,11873,174291
63,2,2406,2,2425,2023,0,4,14289,288640
64,10,3018,1,664,1956,3,4,14208,310812
65,2,1666,1,825,1982,0,3,12828,147226
66,10,1615,2,1635,1972,0,3,8787,243993
67,4,3925,2,1182,1968,0,4,4137,317360
68,8,1333,1,1330,1968,1,4,13608,199783
69,7,2323,2,1326,1985,3,2,6445,300153
70,9,3274,0,1946,1978,0,2,5530,319994
